N° Caso CIADI,Nombre del Caso,Estado Demandado,Clasificación Capital,Región CIADI,País Inversor,Clasif. Inversor,Año Inicio,Resultado,Monto Reclamado (USD mill.),Monto Otorgado (USD mill.),% Otorgado/Reclamado,Tipo de Condena,Sector Económico,Decisiones Estatales Impugnadas,Tratado Invocado,Nacionalidad del Inversor,Composición Accionaria,Árbitros,¿Anulación?,Resultado Anulación,Idioma del Laudo,Variables extraídas auto,Link Italaw
ICSID Case No. ARB/14/25,Ansung Housing v. China,China,Importador neto,Asia Sur-Este/Pacífico,"Korea, Republic of",Exportador neto,2014,No - ganó el Estado,100.00 CNY (16.30 USD),Data not available,,NMF - Nación Más Favorecida,"Tertiary - F - Construction;
Tertiary - L - Real estate activities",,"China - Korea, Republic of BIT (2007)","Korea, Republic of",,"Pryles, M. C. - Claimant; Thomas, J. C. - Respondent (replaced); van den Berg, A. J. - Respondent; Reed, L. - President",,,Inglés,Sí,https://www.italaw.com/cases/5391
ICSID Case No. ARB/14/21,Bear Creek Mining v. Peru,Peru,Importador neto,América del Sur,Canada,Exportador neto,2014,Sí con daños,522.20 USD,18.20 USD,,Expropiación,Primary - B - Mining and quarrying,,Canada - Peru FTA (2008),Canada,,"Böckstiegel, K.-H. - President; Pryles, M. C. - Claimant; Sands, P. - Respondent",,,Indeterminado,Sí,http://www.italaw.com/cases/2848
AF14/2,Besserglik v. Mozambique,Mozambique,Importador neto,África Subsahariana,South Africa,Importador neto,2014,No - ganó el Estado,91.60 USD,Data not available,,,"Primary - A - Agriculture, forestry and fishing",,Mozambique - South Africa BIT (1997),South Africa,,"Khan, M. A. - President; Fortier, L. Y. - Claimant; von Wobeser, C. - Respondent",,,Inglés,Sí,https://www.italaw.com/cases/7663
ICSID Case No. ARB/14/3,Blusun v. Italy,Italy,Exportador neto,Europa Occidental,"Belgium;
France;
Germany",Sin dato,2014,No - ganó el Estado,187.80 EUR (196.30 USD),Data not available,,TJE - Trato Justo y Equitativo | Expropiación,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Nacionalización,The Energy Charter Treaty (1994),"Belgium;
France;
Germany",,"Crawford, J. R. - President; Alexandrov, S. A. - Claimant; Dupuy, P.-M. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/5739
ICSID Case No. ARB/14/32,Casinos Austria v. Argentina,Argentina,Importador neto,América del Sur,Austria,Exportador neto,2014,Sí con daños,51.90 USD,21.70 USD,,TJE - Trato Justo y Equitativo | Expropiación | Trato Nacional,"Tertiary - R - Arts, entertainment and recreation",Reducción/renegociación de tarifas,Argentina - Austria BIT (1992),Austria,,"van Houtte, H. - President; Schill, S. - Claimant; Torres Bernárdez, S. - Respondent",ICSID annulment proceedings,Pending ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/6924
ICSID Case No. ARB/14/8,CEAC v. Montenegro,Montenegro,Importador neto,Europa Occidental,Cyprus,Exportador neto,2014,No - ganó el Estado,600.00 EUR (832.30 USD),Data not available,,TJE - Trato Justo y Equitativo | Expropiación | Protección y Seguridad Plenas | Libre Transferencia | NMF - Nación Más Favorecida,Secondary - C - Manufacturing,,Cyprus - Montenegro BIT (2005),Cyprus,,"Hanotiau, B. - President; Park, W. W. - Claimant; Stern, B. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,http://italaw.com/cases/2463
ICSID Case No. ARB/14/9,City-State v. Ukraine,Ukraine,Importador neto,Este Europa/Asia Central,Netherlands,Exportador neto,2014,Sí con daños,Data not available,8.90 USD,,Expropiación,Tertiary - K - Financial and insurance activities,,Netherlands - Ukraine BIT (1994),Netherlands,,"Lowe, V. - President (replaced); Alexandrov, S. A. - Claimant; Stern, B. - Respondent; Bull, C. - President",,,Inglés,Sí,https://www.italaw.com/cases/8149
AF/14/3,Corona Materials v. Dominican Republic,Dominican Republic,Importador neto,América Central/Caribe,United States of America,Exportador neto,2014,No - ganó el Estado,100.00 USD,Data not available,,,Primary - B - Mining and quarrying,Medida fiscal/impositiva,CAFTA - DR (2004),United States of America,,"Mantilla-Serrano, F. - Claimant; Thomas, J. C. - Respondent; Dupuy, P.-M. - President",,,Indeterminado,Sí,http://italaw.com/cases/2690
ICSID Case No. ARB/14/16,Cyprus Popular Bank v. Greece,Greece,Importador neto,Europa Occidental,Cyprus,Exportador neto,2014,Sí con daños,1000.00 EUR (1360.00 USD),34.50 EUR (41.30 USD),,,Tertiary - K - Financial and insurance activities,,Cyprus - Greece BIT (1992),Cyprus,,"Fernández-Armesto, J. - President; Sands, P. - Claimant; Sacerdoti, G. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,,No — revisar manual,Not available
ICSID Case No. ARB/14/14,EuroGas and Belmont v. Slovakia,Slovakia,Importador neto,Europa Occidental,"Canada;
United States of America",Sin dato,2014,No - ganó el Estado,500.00 EUR (655.00 USD),Data not available,,,Primary - B - Mining and quarrying,,"Slovakia - United States of America BIT (1991);
Canada - Slovakia BIT (2010)","Canada;
United States of America",,"Mayer, P. - President; Gaillard, E. - Claimant; Stern, B. - Respondent",ICSID annulment proceedings,Discontinued ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/3210
ICSID Case No. ARB/14/5,Infinito Gold v. Costa Rica,Costa Rica,Importador neto,América Central/Caribe,Canada,Exportador neto,2014,Sí sin daños,93.80 USD,Data not available,,TJE - Trato Justo y Equitativo | Expropiación | Cláusula Paraguas | NMF - Nación Más Favorecida,Primary - B - Mining and quarrying,,Canada - Costa Rica BIT (1998),Canada,,"Kaufmann-Kohler, G. - President; Hanotiau, B. - Claimant; Stern, B. - Respondent",ICSID annulment proceedings,Pending ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/2258
ICSID Case No. ARB/14/12,InfraRed and others v. Spain,Spain,Exportador neto,Europa Occidental,United Kingdom,Importador neto,2014,Sí con daños,75.70 EUR (83.70 USD),28.20 EUR (31.20 USD),,TJE - Trato Justo y Equitativo | Expropiación,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Cambio regulatorio,The Energy Charter Treaty (1994),United Kingdom,,"Drymer, S. L. - President; Park, W. W. - Claimant; Dupuy, P.-M. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,https://www.italaw.com/cases/8049
ICSID Case No. ARB/14/17,Krederi v. Ukraine,Ukraine,Importador neto,Este Europa/Asia Central,United Kingdom,Importador neto,2014,No - ganó el Estado,137.00 USD,Data not available,,Expropiación | Protección y Seguridad Plenas | NMF - Nación Más Favorecida | Trato Nacional,"Tertiary - F - Construction;
Tertiary - L - Real estate activities",Nacionalización,Ukraine - United Kingdom BIT (1993),United Kingdom,,"van den Berg, A. J. - President (replaced); Wirth, M. - Claimant; Griffith, G. - Respondent; Reinisch, A. - President",,,Indeterminado,Sí,https://www.italaw.com/cases/6782
ICSID Case No. ARB/14/1,Masdar v. Spain,Spain,Exportador neto,Europa Occidental,Netherlands,Exportador neto,2014,Sí con daños,250.00 EUR (297.00 USD),64.50 EUR (76.70 USD),,TJE - Trato Justo y Equitativo,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,The Energy Charter Treaty (1994),Netherlands,,"Beechey, J. - President; Born, G. B. - Claimant; Stern, B. - Respondent",ICSID annulment proceedings,Discontinued ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/6608
ICSID Case No. ARB/14/29,Micula v. Romania (II),Romania,Importador neto,Europa Occidental,Sweden,Exportador neto,2014,No - ganó el Estado,9121.80 RON (2112.80 USD),Data not available,,TJE - Trato Justo y Equitativo | Protección y Seguridad Plenas | Cláusula Paraguas,Secondary - C - Manufacturing,Cambio regulatorio,Romania - Sweden BIT (2002),Sweden,,"McRae, D. M. - President; Pryles, M. C. - Claimant (replaced); Crook, J. R. - Respondent; Beechey, J. - Claimant",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,https://www.italaw.com/cases/7982
ICSID Case No. ARB/14/11,NextEra v. Spain,Spain,Exportador neto,Europa Occidental,Netherlands,Exportador neto,2014,Sí con daños,521.40 EUR (586.00 USD),290.60 EUR (323.60 USD),,TJE - Trato Justo y Equitativo,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,The Energy Charter Treaty (1994),Netherlands,,"McRae, D. M. - President; Fortier, L. Y. - Claimant; Boisson de Chazournes, L. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,http://italaw.com/cases/2585
ICSID Case No. ARB/14/18,RENERGY v. Spain,Spain,Exportador neto,Europa Occidental,Luxembourg,Exportador neto,2014,Sí con daños,151.00 EUR (159.60 USD),32.90 EUR (34.80 USD),,TJE - Trato Justo y Equitativo,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Cambio regulatorio,The Energy Charter Treaty (1994),Luxembourg,,"Simma, B. - President; Schreuer, C. H. - Claimant; Sands, P. - Respondent",ICSID annulment proceedings,Pending ICSID annulment proceedings,Indeterminado,Sí,https://www.italaw.com/cases/9415
ICSID Case No. ARB/14/34,RWE Innogy v. Spain,Spain,Exportador neto,Europa Occidental,Germany,Exportador neto,2014,Sí con daños,273.00 EUR (317.10 USD),28.10 EUR (34.40 USD),,TJE - Trato Justo y Equitativo,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Medida fiscal/impositiva,The Energy Charter Treaty (1994),Germany,,"Kessler, J. L. - Claimant; Wordsworth, S. - President; Joubin-Bret, A. - Respondent",ICSID annulment proceedings,Pending ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/7743
ICSID Case No. ARB/14/20,Sodexo Pass v. Hungary,Hungary,Importador neto,Europa Occidental,France,Exportador neto,2014,Sí con daños,78.20 EUR (89.20 USD),72.80 EUR (83.20 USD),,Expropiación,Tertiary - N - Administrative and support service activities,Nacionalización,France - Hungary BIT (1986),France,,"Park, W. W. - President; Carlevaris, A. - Claimant; Thomas, J. C. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,https://www.italaw.com/cases/6976
ICSID Case No. ARB/14/4,Unión Fenosa v. Egypt,Egypt,Importador neto,Medio Oriente/Norte África,Spain,Exportador neto,2014,Sí con daños,3219.50 USD,2013.10 USD,,,Primary - B - Mining and quarrying,,Egypt - Spain BIT (1992),Spain,,"Veeder, V. V. - President; Rowley, J. W. - Claimant; Clodfelter, M. A. - Respondent",ICSID annulment proceedings,Pending ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/2456
ICSID Case No. ARB/14/24,United Utilities v. Estonia,Estonia,Importador neto,Europa Occidental,Netherlands,Exportador neto,2014,No - ganó el Estado,65.00 EUR (73.30 USD),Data not available,,TJE - Trato Justo y Equitativo,"Tertiary - E - Water supply; sewerage, waste management and remediation activities",Cambio regulatorio | Reducción/renegociación de tarifas,Estonia - Netherlands BIT (1992),Netherlands,50.4% stake,"Drymer, S. L. - President; Williams, D. A. R. - Claimant; Stern, B. - Respondent",,,Inglés,Sí,https://www.italaw.com/cases/3147
ICSID Case No. ARB/14/27,Zelena v. Serbia,Serbia,Exportador neto,Europa Occidental,Belgium,Exportador neto,2014,Sí con daños,Data not available,Data not available,,TJE - Trato Justo y Equitativo | Expropiación | Libre Transferencia | NMF - Nación Más Favorecida | Trato Nacional,"Tertiary - E - Water supply; sewerage, waste management and remediation activities",Nacionalización,BLEU (Belgium-Luxembourg Economic Union) - Serbia BIT (2004),Belgium,,"Simma, B. - President; Böckstiegel, K.-H. - Claimant; Lowe, V. - Respondent",,,Indeterminado,Sí,https://www.italaw.com/cases/6953
ICSID Case No. ARB/13/38,Alghanim v. Jordan,Jordan,Importador neto,Medio Oriente/Norte África,Kuwait,Exportador neto,2013,No - ganó el Estado,81.00 USD,Data not available,,,Tertiary - J - Information and communication,,Jordan - Kuwait BIT (2001),Kuwait,,"McLachlan, C. A. - President; Fortier, L. Y. - Claimant; Kohen, M. G. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,,No — revisar manual,https://www.italaw.com/cases/6361
ICSID Case No. ARB/13/29,Cementos La Union v. Egypt,Egypt,Importador neto,Medio Oriente/Norte África,Spain,Exportador neto,2013,Sí sin daños,Data not available,Data not available,,TJE - Trato Justo y Equitativo,Secondary - C - Manufacturing,Denegación de permiso,Egypt - Spain BIT (1992),Spain,,"Söderlund, C. - President; Brower, C. N. - Claimant; Sands, P. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/11082
ICSID Case No. ARB/13/2,Cervin and Rhone v. Costa Rica,Costa Rica,Importador neto,América Central/Caribe,Switzerland,Exportador neto,2013,Sí sin daños,40632.00 CRC (75.00 USD),0.00 USD,,TJE - Trato Justo y Equitativo,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Cambio regulatorio,Costa Rica - Switzerland BIT (2000),Switzerland,,"Mourre, A. - President; Ramírez Hernández, R. - Claimant; Jana Linetzky, A. - Respondent",,,Indeterminado,Sí,http://www.italaw.com/cases/2125
ICSID Case No. ARB/13/21,Edenred v. Hungary,Hungary,Importador neto,Europa Occidental,France,Exportador neto,2013,Sí con daños,Data not available,23.00 EUR (24.30 USD),,TJE - Trato Justo y Equitativo,Tertiary - N - Administrative and support service activities,Nacionalización,France - Hungary BIT (1986),France,,"Fernández-Armesto, J. - President; Orrego Vicuña, F. - Claimant (replaced); Tschanz, P.-Y. - Claimant; von Wobeser, C. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/2235
ICSID Case No. ARB/13/36,Eiser and Energía Solar v. Spain,Spain,Exportador neto,Europa Occidental,"Luxembourg;
United Kingdom",Sin dato,2013,Sí con daños,256.00 EUR (279.50 USD),128.00 EUR (139.80 USD),,,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,The Energy Charter Treaty (1994),"Luxembourg;
United Kingdom",,"Crook, J. R. - President; Alexandrov, S. A. - Claimant; McLachlan, C. A. - Respondent","ICSID annulment proceedings;
ICSID resubmission proceedings","Award/decision annulled in its entirety ICSID annulment proceedings;
Pending ICSID resubmission proceedings",,No — revisar manual,https://www.italaw.com/cases/5721
ICSID Case No. ARB/13/17,EVN v. Bulgaria,Bulgaria,Importador neto,Europa Occidental,Austria,Exportador neto,2013,No - ganó el Estado,850.00 EUR (957.80 USD),Data not available,,TJE - Trato Justo y Equitativo | Expropiación | Libre Transferencia,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Nacionalización,"Austria - Bulgaria BIT (1997);
The Energy Charter Treaty (1994)",Austria,,"Veeder, V. V. - President; Price, D. M. - Claimant; Dupuy, P.-M. - Respondent",,,Indeterminado,Sí,http://www.italaw.com/cases/2171
ICSID Case No. ARB/13/19,Güneş Tekstil and others v. Uzbekistan,Uzbekistan,Exportador neto,Este Europa/Asia Central,Türkiye,Importador neto,2013,Sí con daños,246.00 USD,26.00 USD,,,Tertiary - G - Wholesale and retail trade; repair of motor vehicles and motorcycles,,Turkey - Uzbekistan BIT (1992),Türkiye,,"Schwartz, E. - Claimant; Giovannini, T. - Respondent (replaced); van Houtte, H. - President; Sands, P. - Respondent",ICSID annulment proceedings,Discontinued ICSID annulment proceedings,,No — revisar manual,http://www.italaw.com/cases/2221
ICSID Case No. ARB/13/7,Houben v. Burundi,Burundi,Importador neto,Sin clasificar,Belgium,Exportador neto,2013,Sí con daños,9.10 USD,0.20 USD,,TJE - Trato Justo y Equitativo | Expropiación,Tertiary - L - Real estate activities,,BLEU (Belgium-Luxembourg Economic Union) - Burundi BIT (1989),Belgium,,"Guillaume, G. - President; Banifatemi, Y. - Claimant; Stern, B. - Respondent",,,Indeterminado,Sí,http://www.italaw.com/cases/2062
ICSID Case No. ARB/13/31,Infrastructure Services and Energia Termosolar (formerly Antin) v. Spain,Spain,Exportador neto,Europa Occidental,"Luxembourg;
Netherlands",Sin dato,2013,Sí con daños,196.00 EUR (229.60 USD),101.00 EUR (115.30 USD),,TJE - Trato Justo y Equitativo | Cláusula Paraguas,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,The Energy Charter Treaty (1994),"Luxembourg;
Netherlands",,"Zuleta, E. - President; Orrego Vicuña, F. - Claimant (replaced); Reichert, K. - Claimant; Thomas, J. C. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/2319
ICSID Case No. ARB/13/1,Karkey Karadeniz v. Pakistan,Pakistan,Importador neto,Asia Sur-Este/Pacífico,Türkiye,Importador neto,2013,Sí con daños,2000.00 USD,490.40 USD,,,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,Pakistan - Turkey BIT (1995),Türkiye,,"Derains, Y. - President; Grigera Naón, H. A. - Claimant; Edward, D. A. O. - Respondent",ICSID annulment proceedings,Discontinued ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/2024
ICSID Case No. ARB/13/27,Marfin v. Cyprus,Cyprus,Exportador neto,Europa Occidental,Greece,Importador neto,2013,No - ganó el Estado,1101.10 EUR (1287.80 USD),Data not available,,TJE - Trato Justo y Equitativo | Expropiación,Tertiary - K - Financial and insurance activities,Nacionalización,Cyprus - Greece BIT (1992),Greece,,"Hanotiau, B. - President; Price, D. M. - Claimant; Edward, D. A. O. - Respondent",,,Indeterminado,Sí,http://www.italaw.com/cases/2068
ICSID Case No. ARB/13/32,MOL v. Croatia,Croatia,Importador neto,Europa Occidental,Hungary,Importador neto,2013,Sí con daños,1100.00 USD,183.90 USD,,,"Primary - B - Mining and quarrying;
Tertiary - D - Electricity, gas, steam and air conditioning supply",,The Energy Charter Treaty (1994),Hungary,,"Berman, F. - President; Park, W. W. - Claimant; Stern, B. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/2516
ICSID Case No. ARB/13/8,Poštová banka and Istrokapital v. Greece,Greece,Importador neto,Europa Occidental,"Cyprus;
Slovakia",Sin dato,2013,No - ganó el Estado,500.00 EUR (529.00 USD),,,Cláusula Paraguas | NMF - Nación Más Favorecida,Tertiary - K - Financial and insurance activities,,"Czech Republic - Greece BIT (1991);
Cyprus - Greece BIT (1992)","Cyprus;
Slovakia",,"Zuleta, E. - President; Townsend, J. M. - Claimant; Stern, B. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/2073
ICSID Case No. ARB/13/30,RREEF v. Spain,Spain,Exportador neto,Europa Occidental,"Luxembourg;
United Kingdom",Sin dato,2013,Sí con daños,441.00 EUR (512.30 USD),59.60 EUR (66.00 USD),,,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Reforma régimen energético/renovables,The Energy Charter Treaty (1994),"Luxembourg;
United Kingdom",,"Pellet, A. - President; Volterra, R. - Claimant; Nikken, P. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/2317
ICSID Case No. ARB/13/26,Spentex v. Uzbekistan,Uzbekistan,Exportador neto,Este Europa/Asia Central,Netherlands,Exportador neto,2013,No - ganó el Estado,100.00 USD,Data not available,,TJE - Trato Justo y Equitativo,Secondary - C - Manufacturing,,Netherlands - Uzbekistan BIT (1996),Netherlands,,"Reinisch, A. - President; Alexandrov, S. A. - Claimant; Stern, B. - Respondent",,,Indeterminado,Sí,http://www.italaw.com/cases/2252
ICSID Case No. ARB/13/28,Transglobal v. Panama,Panama,Importador neto,América Central/Caribe,United States of America,Exportador neto,2013,No - ganó el Estado,Data not available,Data not available,,Expropiación | NMF - Nación Más Favorecida,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,Panama - United States of America BIT (1982),United States of America,,"Rigo Sureda, A. - President; Schreuer, C. H. - Claimant; Paulsson, J. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/2242
ICSID Case No. ARB/13/35,UP and C.D Holding v. Hungary,Hungary,Importador neto,Europa Occidental,France,Exportador neto,2013,Sí con daños,27.40 EUR (31.50 USD),23.20 EUR (26.70 USD),,TJE - Trato Justo y Equitativo | Expropiación,Tertiary - N - Administrative and support service activities,,France - Hungary BIT (1986),France,,"Böckstiegel, K.-H. - President; Fortier, L. Y. - Claimant; Bethlehem, D. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/6902
ICSID Case No. ARB/13/11,Valores Mundiales and Consorcio Andino v. Venezuela,"Venezuela, Bolivarian Republic of",Importador neto,América del Sur,Spain,Exportador neto,2013,Sí con daños,629.70 USD,430.40 USD,,Expropiación,Secondary - C - Manufacturing,Medida fiscal/impositiva,"Spain - Venezuela, Bolivarian Republic of BIT (1995)",Spain,,"Zuleta, E. - President; Grigera Naón, H. A. - Claimant; Derains, Y. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/2127
ICSID Case No. ARB/13/12,van Riet v. Croatia,Croatia,Importador neto,Europa Occidental,Belgium,Exportador neto,2013,No - ganó el Estado,30.00 USD,Data not available,,Expropiación | NMF - Nación Más Favorecida | Trato Nacional,Tertiary - L - Real estate activities,Nacionalización,BLEU (Belgium-Luxembourg Economic Union) - Croatia BIT (2001),Belgium,,"Böckstiegel, K.-H. - President; Fadlallah, I. - Claimant; Landau, T. - Respondent",,,Indeterminado,Sí,http://www.italaw.com/cases/2160
ICSID Case No. ARB/12/3,Accession Mezzanine v. Hungary,Hungary,Importador neto,Europa Occidental,United Kingdom,Importador neto,2012,No - ganó el Estado,Data not available,Data not available,,Expropiación,Tertiary - J - Information and communication,Nacionalización,Hungary - United Kingdom BIT (1987),United Kingdom,,"Rovine, A. W. - President; Lalonde, M. - Claimant; Douglas, Z. - Respondent; McRae, D. M. - Respondent (replaced)",,,Inglés,Sí,http://www.italaw.com/cases/1765
AF/12/1,Apotex v. USA (III),United States of America,Exportador neto,América del Norte,Canada,Exportador neto,2012,No - ganó el Estado,1500.00 USD,,,TJE - Trato Justo y Equitativo,Secondary - C - Manufacturing,,NAFTA (1992),Canada,,"Veeder, V. V. - President; Rowley, J. W. - Claimant; Crook, J. R. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/1687
ICSID Case No. ARB/12/20,Blue Bank v. Venezuela,"Venezuela, Bolivarian Republic of",Importador neto,América del Sur,Barbados,Importador neto,2012,No - ganó el Estado,200.00 USD,Data not available,,TJE - Trato Justo y Equitativo,"Tertiary - I - Accommodation and food service activities;
Tertiary - N - Administrative and support service activities",,"Barbados - Venezuela, Bolivarian Republic of BIT (1994)",Barbados,,"Söderlund, C. - President; Bermann, G. - Claimant; Alonso, J. M. - Claimant (replaced); Malintoppi, L. - Respondent; Torres Bernárdez, S. - Respondent (replaced)",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/1513
ICSID Case No. ARB/12/6,Çap and Sehil v. Turkmenistan,Turkmenistan,Importador neto,Este Europa/Asia Central,Türkiye,Importador neto,2012,No - ganó el Estado,413.00 USD,Data not available,,TJE - Trato Justo y Equitativo | Expropiación | Protección y Seguridad Plenas | Cláusula Paraguas | NMF - Nación Más Favorecida,Tertiary - F - Construction,,Turkey - Turkmenistan BIT (1992),Türkiye,,"Lew, J. D. M. - President; Hanotiau, B. - Claimant; Boisson de Chazournes, L. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/2036
ICSID Case No. ARB/12/40 and 12/14,Churchill Mining and Planet Mining v. Indonesia,Indonesia,Importador neto,Asia Sur-Este/Pacífico,"United Kingdom;
Australia",Sin dato,2012,No - ganó el Estado,1315.00 USD,Data not available,,,Primary - B - Mining and quarrying,,"Indonesia - United Kingdom BIT (1976);
Australia - Indonesia BIT (1992)","United Kingdom;
Australia",,"Kaufmann-Kohler, G. - President; van den Berg, A. J. - Claimant; Hwang, M. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,,No — revisar manual,http://www.italaw.com/cases/1479
ICSID Case No. ARB/12/9,Dan Cake v. Hungary,Hungary,Importador neto,Europa Occidental,Portugal,Importador neto,2012,Sí con daños,47.90 EUR (54.50 USD),5.20 EUR (6.20 USD),,TJE - Trato Justo y Equitativo,Secondary - C - Manufacturing,,Hungary - Portugal BIT (1992),Portugal,,"Mayer, P. - President; Paulsson, J. - Claimant (replaced); Schill, S. - Claimant; Landau, T. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/1937
ICSID Case No. ARB/12/33,E energija v. Latvia,Latvia,Importador neto,Europa Occidental,Lithuania,Importador neto,2012,Sí con daños,9.80 EUR (11.70 USD),1.60 EUR (1.90 USD),,,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,Latvia - Lithuania BIT (1996),Lithuania,,"Patocchi, P. M. - President; Wordsworth, S. - Claimant; Reinisch, A. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/2095
ICSID Case No. ARB/12/2,Emmis v. Hungary,Hungary,Importador neto,Europa Occidental,"Netherlands;
Switzerland",Sin dato,2012,No - ganó el Estado,Data not available,Data not available,,Expropiación,Tertiary - J - Information and communication,,"Hungary - Netherlands BIT (1987);
Hungary - Switzerland BIT (1988)","Netherlands;
Switzerland",,"McLachlan, C. A. - President; Lalonde, M. - Claimant; Thomas, J. C. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/384
ICSID Case No. ARB/12/21,Fabrica de Vidrios v. Venezuela (I),"Venezuela, Bolivarian Republic of",Importador neto,América del Sur,Netherlands,Exportador neto,2012,No - ganó el Estado,1033.10 USD,Data not available,,TJE - Trato Justo y Equitativo | Expropiación,Secondary - C - Manufacturing,,"Netherlands - Venezuela, Bolivarian Republic of BIT (1991)",Netherlands,,"Shin, H.-T. - President; Fortier, L. Y. - Claimant; Mourre, A. - Respondent (replaced); Douglas, Z. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/1941
ICSID Case No. ARB/12/25,Gavazzi v. Romania,Romania,Importador neto,Europa Occidental,Italy,Exportador neto,2012,Sí con daños,30.00 USD,Data not available,,TJE - Trato Justo y Equitativo,Secondary - C - Manufacturing,,Italy - Romania BIT (1990),Italy,,"van Houtte, H. - President; Veeder, V. V. - Claimant; Rubino-Sammartano, M. - Respondent",,,Indeterminado,Sí,http://www.italaw.com/cases/2026
ICSID Case No. ARB/12/39,Gavrilovic v. Croatia,Croatia,Importador neto,Europa Occidental,Austria,Exportador neto,2012,Sí con daños,198.20 EUR (231.80 USD),20.20 HRK (3.20 USD),,TJE - Trato Justo y Equitativo | Expropiación,Secondary - C - Manufacturing,Denegación de permiso,Austria - Croatia BIT (1997),Austria,,"Pryles, M. C. - President; Alexandrov, S. A. - Claimant; Scherer, M. - Respondent (replaced); Thomas, J. C. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/1966
AF/12/2,Grupo Francisco v. Equatorial Guinea,Equatorial Guinea,Importador neto,Sin clasificar,Spain,Exportador neto,2012,No - ganó el Estado,450.00 EUR (600.00 USD),Data not available,,,Tertiary - F - Construction,Medida fiscal/impositiva,Equatorial Guinea - Spain BIT (2003),Spain,,"Sepúlveda Amor, B. - President; Orrego Vicuña, F. - Claimant; Vinuesa, R. E. - Respondent",,,Indeterminado,Sí,http://www.italaw.com/cases/1968
